what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security.ui,1.0.200.v20100503,"org.eclipse.equinox.security.ui",1384908398092
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384908410834
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.team.Push",1384908410993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384908411397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384908668502
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1384908677382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384908678567
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909729588
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384909731731
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384909794368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803435
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803494
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803520
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803575
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803600
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803680
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803705
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803784
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909803882
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909813409
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.team.Fetch",1384909813430
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909814193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909820735
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384909842381
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384909842436
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384909858185
closed,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384909858238
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384909862109
opened,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384909862712
activated,editor,com.android.ide.eclipse.adt,22.2.1.v201309180102-833290,"com.android.ide.eclipse.editors.CommonXmlEditor",1384909862769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909867340
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909869166
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1384909869186
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1384909869564
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1384909870263
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1384909870264
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1384909870283
